,setup 1,setup 2,setup 3,setup 4,setup 5,setup 6,setup 7,setup 8,setup 9
D1 [m],0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09
D2 [m],0.19044163088667254,0.18292205645217188,0.17593550998488086,0.1694526155626531,0.163277976414921,0.15727926170832288,0.1528949141187086,0.14688432842030805,0.14355139824580707
D3 [m],0.15669737575713916,0.1555658997071928,0.15513589674609482,0.15441453446343828,0.15345058609516748,0.1518339586159529,0.14965018678368983,0.14853241337087078,0.14557739819909968
Pz [eV],600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0,600000000.0
F_num [keV],0.004919329092693659,0.005009416846189673,0.004205977971226721,0.00397502249553383,0.004127089941943219,0.004927095469498795,0.002384392413231886,0.010453454162194958,0.004549153920114035
D [m],0.3571390066438117,0.3584879561593647,0.3610714067309757,0.3638671500260914,0.3667285625100885,0.36911322032427574,0.37254510090239845,0.3754167417911788,0.3791287964449067
