D1 [cm],D2 [cm],D3 [cm],D4 [cm],setup length [m],Pz [eV/c],"f(x',y') [mrad^2]",x acceptance [mrad],y acceptance [mrad],beam ratio [-]
0.8,29.99,32.38,,1.2,930000000.0,2.1324654292981848e-20,10.362694300518134,21.759628635671287,5.972955145118734
0.8,29.6,31.93,,1.2,920000000.0,4.962745503308129e-13,10.466820180029307,21.96622083374012,5.968956764179601
0.8,29.21,31.49,,1.2,910000000.0,4.024262722388601e-23,10.573059843518712,22.17677352586058,5.964882802654793
0.8,28.82,31.05,,1.2,900000000.0,2.5419634580246908e-11,10.681478316599016,22.391401701746528,5.960731097069674
0.8,28.43,30.61,,1.2,890000000.0,1.0981985205150868e-16,10.79136690647482,22.61022484612485,5.956499400582291
0.8,28.03,30.16,,0.9,880000000.0,4.455485879390497e-07,10.907504363001744,22.84032077961628,5.946856772521064
0.8,27.64,29.72,,0.9,870000000.0,1.447818945712776e-07,11.021307861866276,23.065094823167605,5.944837217421664
0.8,27.27,29.28,,0.9,860000000.0,1.7828372299215794e-07,11.135857461024498,23.28830926874709,5.946804287415642
0.8,26.87,28.85,,0.9,850000000.0,2.754578042391142e-07,11.256190904997748,23.53064212507844,5.940673436664886
0.8,26.48,28.4,,0.9,840000000.0,1.2541710445011338e-07,11.38260737592958,23.77493065645225,5.931205035971223
0.8,26.09,27.97,,0.9,830000000.0,2.515722229641457e-07,11.506597115679655,24.02306213965407,5.927675813192804
0.8,25.7,27.52,,0.9,820000000.0,1.4347366165972637e-07,11.63422011944466,24.2724992583403,5.924072713918472
0.8,17.18,17.82,,0.9,600000000.0,2.196827405444445e-07,15.405788468253805,31.51039843148239,5.7870496765386665
0.8,16.78,17.38,,0.9,590000000.0,1.3391702763573687e-06,15.641129915225076,31.95909236177692,5.760271096983146
0.8,24.14,25.75,,0.9,780000000.0,7.182221308349771e-07,12.18224640623731,25.33926459823188,5.895915048311489
0.8,16.03,16.52,,0.9,570000000.0,7.353775183133272e-07,16.107901462597454,32.83832597511585,5.770844939647168
0.8,7.98,7.37,,0.9,360000000.0,8.43492624228395e-07,23.6850831346418,46.434836446187184,5.481523053013296
0.8,7.6,6.94,,0.9,350000000.0,8.530193012244897e-07,24.21854817876517,47.34848484848485,5.464273143259415
0.8,7.24,6.51,,0.9,340000000.0,1.4913558713235297e-06,24.75656048852946,48.26772498122922,5.5087082728592165
0.8,6.86,6.09,,0.9,330000000.0,9.557537208448117e-07,25.33783783783784,49.26378017406536,5.477927595123753
0.8,6.47,5.64,,0.9,320000000.0,5.160421531249999e-06,25.975825165379423,50.318685005031874,5.389291689905187
0.8,6.09,5.23,,0.9,310000000.0,1.929463235171696e-06,26.601404554160457,51.38746145940391,5.371390577507599
0.8,5.22,4.81,,1.2,290000000.0,0.0033724507686087,27.691626052281787,53.99244105825184,4.808006218422075
0.8,4.69,4.81,,1.2,280000000.0,0.0142685759215561,28.16636935499014,55.613915837607365,4.10854547175168
0.8,4.07,4.81,,1.2,270000000.0,0.0343907770919067,28.826751225136928,57.622126896728346,2.9098451327433623
0.8,3.58,4.81,,1.2,260000000.0,0.0646238062130177,29.301453352086263,59.30416447021613,2.378938179509562
0.8,2.51,4.81,,1.2,250000000.0,0.12142255904,30.795130263401013,62.893081761006286,0.9383848201834086
0.8,2.51,4.81,,1.2,240000000.0,0.166681413923611,30.50330452465684,63.29113924050633,0.9707112970711298
0.8,2.51,4.81,,1.2,230000000.0,0.2556945120786389,30.182908425055835,63.6717368234878,1.1624629505688882
0.8,2.51,4.81,,1.2,220000000.0,0.4056318332438016,29.838276541146985,64.0432647833203,0.5920098668311139
0.8,2.51,4.81,,1.2,210000000.0,0.6405136667573696,29.46781132742668,64.40071556350625,0.7655894642196012
0.8,2.51,4.81,,1.2,200000000.0,0.9944025325,29.07033082036473,64.73888649115236,0.7957507165863893
0.8,16.41,16.94,,0.9,580000000.0,2.9601275772889415e-07,15.873015873015872,32.38924677007233,5.766282824590264
0.8,8.37,7.8,,0.9,370000000.0,4.210319698758217e-07,23.15958498023716,45.52812626467018,5.5394793000426805
0.8,8.74,8.23,,0.9,380000000.0,8.052285886426593e-07,22.68190890945382,44.68718967229395,5.528891853581256
0.8,5.74,4.81,,0.9,300000000.0,4.251490672222222e-06,27.23360990577171,52.44755244755245,5.44579383886256
0.8,15.63,16.07,,0.9,560000000.0,3.5486618941326525e-07,16.36821946508659,33.31482509716824,5.746259312589996
0.8,9.12,8.66,,0.9,390000000.0,6.621748040762656e-07,22.21136333348141,43.87247733255338,5.5352849783302
0.8,15.25,15.63,,0.9,550000000.0,2.858627520661157e-07,16.626946738347282,33.79520108144644,5.737871475742951
0.8,14.86,15.21,,0.9,540000000.0,8.24972316186557e-07,16.890370236915594,34.29878048780488,5.724264469194618
0.8,14.48,14.75,,0.9,530000000.0,3.8768700565681766e-07,17.169346992502717,34.79874724509917,5.721187160881219
0.8,14.09,14.32,,0.9,520000000.0,7.554708775887573e-07,17.455865752755116,35.33430175493699,5.698113207547171
0.8,13.71,13.88,,0.9,510000000.0,4.906770973048827e-07,17.746018976409626,35.85943103036099,5.704978777875092
0.8,12.96,13.01,,0.9,490000000.0,1.6858918605789251e-06,18.35378760996977,36.97465182202868,5.709751674107144
0.8,12.57,12.58,,0.9,480000000.0,1.5676206011284724e-06,18.67808935597948,37.56730809366782,5.697931425332956
