E [MeV], D1 [cm], D4 [cm], D2 [cm], D3 [cm], L_tot [m], x_acc [mrad], y_acc [mrad], x_2/x'_1 [mm/mrad], y_2/y'_1 [mm/mrad], x_2/x_1 [mm], y_2/y_1 [mm], x'_2/x'_1 [mrad/mrad], y'_2/y'_1 [mrad/mrad] 
200.0,4.0,0.0,0.9518713116255285,0.1248488907208211,1.3072072020234635,41.82933630786392,40.253018976423235,0.35212,0.107232,1174.59470278204,357.7023150310227,-0.00012874000000000002,-7.268099999999999e-05
200.0,4.0,100.0,0.5621143780338431,2.3828905356170575,1.325890049136509,39.3246644295302,40.26922855663579,-1.3941e-10,4.3483e-11,-4.650255178625038e-07,1.450448647386504e-07,-0.380215,-0.085385
200.0,4.0,100.0,1.309891126211592,0.11721124025548767,1.3107110236646708,41.267366683479295,40.24607600758926,0.35668,-3.1802e-09,1189.76616965209,-1.0608092331298576e-05,1.0863e-08,-0.099635
200.0,4.0,100.0,0.29675532859480774,2.388486778929208,1.3232924210752401,39.70459779242436,40.29194391361407,2.5375e-12,0.09288,8.46425831415324e-09,309.81687181026723,-0.37661500000000003,-1.00295e-12
600.0,10.0,0.0,11.944811484043228,16.698169533884705,2.6428698101792794,19.357836052033864,23.440552155228545,0.7759199999999999,0.230448,2588.1858482352823,768.6903963734976,7.909e-10,-2.0836500000000003e-09
600.0,10.0,200.0,11.237925942127248,25.794278362223405,2.7267620430435064,16.24642578632701,23.980176387519652,-1.9896e-05,-1.0708e-05,-0.0663664565195637,-0.035718336168651395,-0.45991666666666664,-0.08799666666666667
600.0,10.0,200.0,13.107523200261365,16.614664223021173,2.6536618742328253,18.967653827672542,22.593764121102573,0.79188,-4.0777e-07,2641.4490143100174,-0.0013601854631575437,-5.154666666666667e-07,-0.10887166666666669
600.0,10.0,200.0,10.463083791621612,25.85400603774423,2.7196108982936584,16.474826465161236,24.374956473292013,1.9263e-13,0.1907,6.425497848493947e-10,636.1119450281865,-0.4534833333333334,1.3779e-13
1000.0,20.0,0.0,21.564018533667973,32.762806361559235,2.999708248952272,12.915446874461857,14.067555527767793,1.1623666666666668,0.38523333333333337,3877.1403157660666,1284.9677562819659,-2.0530000000000005e-06,7.941833333333334e-06
1000.0,20.0,200.0,19.35395717671883,61.25677584471978,3.262547330214386,9.293104516448794,14.319613779559774,1.7151e-08,-2.4151e-08,5.721004703292305e-05,-8.055972514093199e-05,-0.80088,-0.12061
1000.0,20.0,200.0,24.55191432141447,32.560039152621414,3.0275595347403588,12.54180602006689,13.21682942947353,1.1969,-2.5223e-05,3992.461389639415,-0.0841355615597585,5.8872e-06,-0.17887999999999998
1000.0,20.0,200.0,17.914919262017605,61.36760825086903,3.2492652751288666,9.43040362127499,14.319613779559774,-3.8215e-14,0.27688,-1.2747256412822308e-10,923.579839220788,-0.7892899999999999,5.836600000000001e-13
