0,1,2,3,4,5,6,7,8,9
0.05,0.12307080331946334,0.11208022559110177,5.0E+8,21.48781640809661,28.921237828979077,0.70025,0.20828,1.0,0.5411510289105651
0.05,0.12307080331946334,0.11208022559110177,5.0E+8,21.48781640809661,28.921237828979077,0.70025,0.20828,1.0,0.5411510289105651
0.05,0.12307080331946334,0.11208022559110177,5.0E+8,21.48781640809661,28.921237828979077,0.70025,0.20828,1.0,0.5411510289105651
0.05,0.12307080331946334,0.11208022559110177,5.0E+8,21.48781640809661,28.921237828979077,0.70025,0.20828,1.0,0.5411510289105651
0.05,0.12307080331946334,0.11208022559110177,5.0E+8,21.48781640809661,28.921237828979077,0.70025,0.20828,1.0,0.5411510289105651
0.05,0.12307080331946334,0.11208022559110177,5.0E+8,21.48781640809661,28.921237828979077,0.70025,0.20828,1.0,0.5411510289105651
0.05,0.12307080331946334,0.11208022559110177,5.0E+8,21.48781640809661,28.921237828979077,0.70025,0.20828,1.0,0.5411510289105651
0.05,0.12307080331946334,0.11208022559110177,5.0E+8,21.48781640809661,28.921237828979077,0.70025,0.20828,1.0,0.5411510289105651
0.05,0.12307080331946334,0.11208022559110177,5.0E+8,21.48781640809661,28.921237828979077,0.70025,0.20828,1.0,0.5411510289105651
0.05,0.12307080331946334,0.11208022559110177,5.0E+8,21.48781640809661,28.921237828979077,0.70025,0.20828,1.0,0.5411510289105651
0.05,0.12307080331946334,0.11208022559110177,5.0E+8,21.48781640809661,28.921237828979077,0.70025,0.20828,1.0,0.5411510289105651
0.05,0.12307080331946334,0.11208022559110177,5.0E+8,21.48781640809661,28.921237828979077,0.70025,0.20828,1.0,0.5411510289105651
0.05,0.12307080331946334,0.11208022559110177,5.0E+8,21.48781640809661,28.921237828979077,0.70025,0.20828,1.0,0.5411510289105651
0.05,0.12307080331946334,0.11208022559110177,5.0E+8,21.48781640809661,28.921237828979077,0.70025,0.20828,1.0,0.5411510289105651
0.05,0.12307080331946334,0.11208022559110177,5.0E+8,21.48781640809661,28.921237828979077,0.70025,0.20828,1.0,0.5411510289105651
0.05,0.12307080331946334,0.11208022559110177,5.0E+8,21.48781640809661,28.921237828979077,0.70025,0.20828,1.0,0.5411510289105651
0.05,0.12307080331946334,0.11208022559110177,5.0E+8,21.48781640809661,28.921237828979077,0.70025,0.20828,1.0,0.5411510289105651
0.05,0.12307080331946334,0.11208022559110177,5.0E+8,21.48781640809661,28.921237828979077,0.70025,0.20828,1.0,0.5411510289105651
0.06,0.11903304890914368,0.11019016616379626,5.0E+8,22.094239295341062,27.75293718585217,0.68094,0.18849,1.0,0.5452232150729399
0.06,0.11903304890914368,0.11019016616379626,5.0E+8,22.094239295341062,27.75293718585217,0.68094,0.18849,1.0,0.5452232150729399
0.06,0.11903304890914368,0.11019016616379626,5.0E+8,22.094239295341062,27.75293718585217,0.68094,0.18849,1.0,0.5452232150729399
0.06,0.11903304890914368,0.11019016616379626,5.0E+8,22.094239295341062,27.75293718585217,0.68094,0.18849,1.0,0.5452232150729399
0.06,0.11903304890914368,0.11019016616379626,5.0E+8,22.094239295341062,27.75293718585217,0.68094,0.18849,1.0,0.5452232150729399
0.06,0.11903304890914368,0.11019016616379626,5.0E+8,22.094239295341062,27.75293718585217,0.68094,0.18849,1.0,0.5452232150729399
0.06,0.11903304890914368,0.11019016616379626,5.0E+8,22.094239295341062,27.75293718585217,0.68094,0.18849,1.0,0.5452232150729399
0.06,0.11903304890914368,0.11019016616379626,5.0E+8,22.094239295341062,27.75293718585217,0.68094,0.18849,1.0,0.5452232150729399
0.06,0.11903304890914368,0.11019016616379626,5.0E+8,22.094239295341062,27.75293718585217,0.68094,0.18849,1.0,0.5452232150729399
0.06,0.11903304890914368,0.11019016616379626,5.0E+8,22.094239295341062,27.75293718585217,0.68094,0.18849,1.0,0.5452232150729399
0.06,0.11903304890914368,0.11019016616379626,5.0E+8,22.094239295341062,27.75293718585217,0.68094,0.18849,1.0,0.5452232150729399
0.06,0.11903304890914368,0.11019016616379626,5.0E+8,22.094239295341062,27.75293718585217,0.68094,0.18849,1.0,0.5452232150729399
0.06,0.11903304890914368,0.11019016616379626,5.0E+8,22.094239295341062,27.75293718585217,0.68094,0.18849,1.0,0.5452232150729399
0.06,0.11903304890914368,0.11019016616379626,5.0E+8,22.094239295341062,27.75293718585217,0.68094,0.18849,1.0,0.5452232150729399
0.06,0.11903304890914368,0.11019016616379626,5.0E+8,22.094239295341062,27.75293718585217,0.68094,0.18849,1.0,0.5452232150729399
0.06,0.11903304890914368,0.11019016616379626,5.0E+8,22.094239295341062,27.75293718585217,0.68094,0.18849,1.0,0.5452232150729399
0.06,0.11903304890914368,0.11019016616379626,5.0E+8,22.094239295341062,27.75293718585217,0.68094,0.18849,1.0,0.5452232150729399
0.06,0.11903304890914368,0.11019016616379626,5.0E+8,22.094239295341062,27.75293718585217,0.68094,0.18849,1.0,0.5452232150729399
0.07,0.11458980338977841,0.10840894326229891,5.0E+8,22.769707181565646,26.7022696929239,0.66479,0.20262,1.0,0.5489987466520773
0.07,0.11458980338977841,0.10840894326229891,5.0E+8,22.769707181565646,26.7022696929239,0.66479,0.20262,1.0,0.5489987466520773
0.07,0.11458980338977841,0.10840894326229891,5.0E+8,22.769707181565646,26.7022696929239,0.66479,0.20262,1.0,0.5489987466520773
0.07,0.11458980338977841,0.10840894326229891,5.0E+8,22.769707181565646,26.7022696929239,0.66479,0.20262,1.0,0.5489987466520773
