,setup 1,setup 2,setup 3,setup 4,setup 5,setup 6,setup 7,setup 8,setup 9,setup 10,setup 11,setup 12,setup 13,setup 14,setup 15,setup 16
D1 [m],0.05,0.06,0.07,0.08,0.09,0.1,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09,0.1
D2 [m],0.143672,0.138361,0.133467,0.128954,0.124794,0.120958,0.190649,0.183033,0.175998,0.16949,0.163464,0.157878,0.152696,0.147887,0.143423,0.139279
D3 [m],0.132364,0.130858,0.129167,0.127298,0.125257,0.123053,0.15674,0.15607,0.155204,0.154145,0.152898,0.151468,0.149859,0.148078,0.146129,0.144021
Pz [eV],5.5E+8,5.5E+8,5.5E+8,5.5E+8,5.5E+8,5.5E+8,6.0E+8,6.0E+8,6.0E+8,6.0E+8,6.0E+8,6.0E+8,6.0E+8,6.0E+8,6.0E+8,6.0E+8
F_ana [mrad],0.001983112267569621,0.0019214892889639812,0.0017271071397183544,0.004283107719347856,0.001355424157820461,0.0022423720519806995,0.0027527462998592676,0.002274604919531204,0.00269193806789623,0.0005609119541227284,0.0024476471663847123,0.000332199247440448,0.0011724726135157462,0.0027922023677556035,0.0023087596778356987,0.004311402259641803
F_num [mrad],0.0009589377073676738,0.0183919273649704,0.0037061359830261207,0.0016630983096131199,0.0008544909934289767,0.006721266254275023,0.0003432815446377636,0.002274604919531204,0.0019943263761090972,0.01136413763653988,0.0033787866206343633,0.0035604767583772325,0.0014062393257866488,0.00643963545398944,0.019007743323445844,0.017304963350309517
Delta D2 [mm],0.15040645616540282,2.5293956727538145,0.04421837503099102,0.08509612309504089,0.052138259249615015,0.4900456233165318,0.14006694640730788,0.0076854504658385725,0.5313267912422648,0.005601767998686391,0.3583176307710989,0.20077417075800574,0.3360683003391651,0.759074760621703,2.6419266845257585,2.630471623733921
Delta D3 [mm],0.0791726857502506,2.5681407891818275,0.16198140390202842,0.025076464046175362,0.4017708851910412,1.5127208647910533,0.16453397811660997,0.01487414596204606,0.04012840678088714,1.9082415765299676,0.20658219805663736,0.12694910001384563,0.1580690491524983,0.25192883802915844,1.5240337912622581,1.3421163668934366
setup length [m],0.5821072337704151,0.585257745116428,0.588427800221067,0.5921418274128588,0.5957013673740585,0.5989883247585255,0.6134134670317093,0.615080440403572,0.6167108016155386,0.6215488433445286,0.6217971001711723,0.6256737232707718,0.6287329992511866,0.6324721459225925,0.6344341071067364,0.6380116447431595
Angle accept. x [mrad],0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Angle accept. y [mrad],0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
beam size x [mm],0.076417,0.070169,0.072365,0.071368,0.069299,0.06973,0.094297,0.091145,0.08892,0.082494,0.084238,0.080117,0.079595,0.077706,0.073578,0.072396
beam size y [mm],0.020334,0.025207,0.022988,0.022222,0.02352,0.024175,0.018251,0.018227,0.02004,0.019037,0.022003,0.022227,0.022736,0.021337,0.030517,0.030833
number of func. evaluations [-],275,321,187,446,432,386,255,178,231,181,326,245,115,383,121,289
