0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0.03,0.257989,0.237069,8.0E+8,0.0018133643129294925,0.009000078382471178,0.5563738238476557,1.7671483475820149,0.7833815221714296,12.850167052171678,1.3322394899999999,21.814479967035897,0.09567498299999999,13.92463785439084,233
0.04,0.250766,0.236201,8.0E+8,0.0009297817644647856,0.011361477898198368,0.026538533728970304,2.4859030572091934,0.7854794415909382,13.165979109979812,1.2567618299999999,21.253985122210416,0.10441430099999999,12.036299797668521,252
0.05,0.243955,0.235176,8.0E+8,0.0020549253789675674,0.0013338137803400444,0.08167940709380428,0.3941243689582208,0.7848185550381356,13.523260007212405,1.23498328,20.72061701392886,0.11273554250000001,10.954693192699187,245
0.06,0.237527,0.233995,8.0E+8,0.0019336332138296033,0.02452477060162847,0.21132779990323813,4.825719905432263,0.7824849522946644,13.939224979091161,1.23988242,20.210639779030338,0.12957185070000002,9.569072397296551,238
0.07,0.231457,0.232661,8.0E+8,0.004424599764738615,0.0019152234438832457,0.6077227564708909,0.044213845851931444,0.790681508910619,14.118975903614457,1.1323059200000003,19.648938957296306,0.12346926240000003,9.17075147279733,368
0.08,0.225723,0.231178,8.0E+8,0.0005572103597385821,0.002028180742261707,0.068007418354471,0.651926349844123,0.7936209337681985,14.377456148758748,1.0816934399999998,19.21762897164332,0.132042824,8.191989592709708,242
0.09,0.220303,0.229547,8.0E+8,0.0024920688092739834,0.0005631524760722001,0.2896183877296177,0.21468133957858182,0.7963542997273082,14.665623777864687,1.0459152799999998,18.74960938313785,0.13794527380000002,7.582103041213433,304
0.1,0.215179,0.227774,8.0E+8,0.002680046851269582,0.0012624642423772843,0.15965659030739432,0.21528655313335365,0.7985780568565592,14.961101137043688,1.0065101399999998,18.329938900203665,0.14767316000000003,6.815796045808186,318
0.01,0.294649,0.258768,8.5E+8,0.0036577011272563237,0.008928592479658822,2.05424174187141,1.8895985895990286,0.8195816431522723,11.599133931333128,1.70004072,21.817124018229418,0.09322952000000002,18.23500453504426,355
0.02,0.28641,0.258247,8.5E+8,0.0019349168307367921,0.02256418288328455,3.2532235175430357,5.625488628724029,0.818284734888819,11.941724385001194,1.66320201,21.181952976064395,0.0976269753,17.03629560261507,256
0.03,0.278627,0.257572,8.5E+8,0.0025933093365194393,0.043170370718335016,4.654572991123818,10.357843063903305,0.8164957299272205,12.298106091661884,1.6517177400000003,20.575190892048834,0.10219880879999999,16.161810097340396,441
0.04,0.271269,0.256743,8.5E+8,0.0022379293109547607,0.0005694336908527635,0.27423026256928607,0.5013402995521776,0.8232364294378786,12.471938139186829,1.4466075600000001,20.28397565922921,0.11839690800000001,12.218288335705523,561
0.05,0.264307,0.255762,8.5E+8,0.003499620252260894,0.00790368811007335,0.262888085720725,2.345896678449033,0.8239859914072717,12.761613067891782,1.41095016,19.77543890488014,0.1233621166,11.437467181071373,296
0.06,0.257716,0.254632,8.5E+8,0.0015642084382206521,0.0007991997704451528,0.05771975266916085,0.3078126850589169,0.828713532437728,12.985888667647822,1.3332164199999998,19.305847526706422,0.13122034640000002,10.160134892007873,323
0.07,0.251473,0.253355,8.5E+8,0.0032775212044584457,0.0018547655127072067,0.10666837244921457,0.43721315406208827,0.8313718815265113,13.256738842244808,1.27825555,18.831997656462512,0.13398684760000001,9.54015691014735,371
0.08,0.245556,0.251933,8.5E+8,0.001663315008231753,0.0018194910220655563,0.2985962736557768,0.1468708145391795,0.833934467088195,13.507429085997298,1.2268804,18.40528436164339,0.1437435004,8.535206089916535,440
