,setup 1,setup 2,setup 3,setup 4,setup 5,setup 6,setup 7,setup 8,setup 9,setup 10,setup 11,setup 12,setup 13,setup 14,setup 15,setup 16
D1 [m],0.09,0.1,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09,0.1,0.01,0.02,0.03,0.04
D2 [m],0.088623,0.08551,0.149339,0.142116,0.135542,0.129548,0.124077,0.119077,0.114506,0.110325,0.106501,0.103008,0.169963,0.162528,0.155707,0.149439
D3 [m],0.083562,0.081159,0.116151,0.115399,0.114429,0.113246,0.111858,0.11027,0.108492,0.106531,0.104395,0.102091,0.136421,0.135713,0.134797,0.133679
Pz [eV],4.5E+8,4.5E+8,5.0E+8,5.0E+8,5.0E+8,5.0E+8,5.0E+8,5.0E+8,5.0E+8,5.0E+8,5.0E+8,5.0E+8,5.5E+8,5.5E+8,5.5E+8,5.5E+8
F_ana [mrad],0.002159945889811497,0.001726407774098905,0.0016900629357512107,0.0010110252776266279,0.002482296645366947,0.0019210731244801691,0.0007311185099558074,0.0038360603441030486,0.00220723513935421,0.0016162439064695648,0.0018929025666420342,0.003102220662161504,0.0036301520265048393,0.001976427549689984,0.0037324012787728392,0.0011125490803548163
F_num [mrad],0.0010884491742558639,0.0019357619292964669,0.00168722361839525,0.0014861427109130534,0.002939878025769097,0.0036796613305574736,0.0055391899187155515,0.002418822484515968,0.0019270175407608515,0.0008890054483725057,0.008845005155453558,0.00032087315338619405,0.019307391646681514,0.018036681600019887,0.003235717061101624,0.012427630117890838
Delta D2 [mm],0.011659893644974662,0.3248736820627568,0.04292452607071451,0.010298816442627645,0.05417326441445325,0.4468241661075567,1.0061966805366696,0.04395109085632287,0.08380338977841129,0.1991174294961734,1.3664883864316772,0.1032452029990083,0.16358851448830536,2.304311473484144,0.01868490177314719,0.1545730418065494
Delta D3 [mm],0.23205731538256114,0.3273735045555559,0.14820339546921246,0.1963761431427874,0.06616978547703545,0.47490714794960753,0.2222255911017712,0.07983383620374651,0.08305673770109268,0.0062357963306197695,1.0980492906781936,0.05946796846410807,2.191710610082831,0.5392153281773282,0.2029645375700162,2.021433039578663
setup length [m],0.5179646025782624,0.5226714998224928,0.5313847211306015,0.5333289226732998,0.5359829965210625,0.5387659170181579,0.5411510289105651,0.5452232150729399,0.5489987466520773,0.5530613532258268,0.5571644390957535,0.5612617131714631,0.5700287008754288,0.5770845268016614,0.5763197203642031,0.5772511400022279
Angle accept. x [mrad],0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Angle accept. y [mrad],0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
beam size x [mm],0.056762,0.054927,0.079593,0.077657,0.073944,0.073199,0.070024,0.068094,0.066479,0.06402,0.063939,0.061409,0.093123,0.082492,0.08235,0.082274
beam size y [mm],0.021271,0.022741,0.0159,0.016777,0.018266,0.017851,0.020828,0.018848,0.020262,0.021311,0.019419,0.023154,0.018744,0.011902,0.019101,0.020072
number of func. evaluations [-],309,490,286,486,301,227,232,232,289,435,367,446,176,243,449,191
