,setup 1,setup 2,setup 3,setup 4,setup 5,setup 6,setup 7,setup 8,setup 9,setup 10,setup 11,setup 12,setup 13,setup 14,setup 15,setup 16
D1 [m],0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09,0.1,0.01,0.02,0.03,0.04,0.05,0.06
D2 [m],0.048333,0.043028,0.0386,0.034897,0.031806,0.029237,0.027124,0.025416,0.024073,0.02307,0.068039,0.062168,0.057126,0.052785,0.049046,0.045828
D3 [m],0.016328,0.015318,0.01404,0.012513,0.010756,0.008785,0.006615,0.004255,0.001713,-0.001013,0.035947,0.034986,0.033762,0.032289,0.030585,0.028663
Pz [eV],2.5E+8,2.5E+8,2.5E+8,2.5E+8,2.5E+8,2.5E+8,2.5E+8,2.5E+8,2.5E+8,2.5E+8,3.0E+8,3.0E+8,3.0E+8,3.0E+8,3.0E+8,3.0E+8
F_ana [mrad],0.0016207882463739674,0.004205765652624978,0.0016151529068964337,0.002134650616845764,0.0011940402506381432,0.0008602176887276848,0.006332801395780543,0.0024869649901838185,0.0006767479247105232,0.0010351686070124034,0.003844901562820273,0.0031869254319624248,0.0010407938033806484,0.0019295616854727513,0.004011310411546055,0.004852217316741789
F_num [mrad],0.023165471440054916,0.00227240590564626,0.0016968283189527456,0.0006014847798706132,0.0018535788768757591,0.006163591992856114,0.0029681515813044317,0.013007120454950817,0.01681546395510989,0.01659216941649283,0.0072496751344839966,0.0011440598056240087,0.005985973985539492,0.04707234791490884,0.028580446781361242,0.003961177374075653
Delta D2 [mm],1.23785378638374,0.05917870360614558,0.19977936074790786,0.1987597141267644,0.20350339006715984,0.4192376258339778,0.14046618900210445,0.4022981802105918,0.9979984966759781,1.0005213887924955,0.26862329056705214,0.2252180234794815,0.4114680416019631,3.143584133857749,1.3719681500941674,0.2516643349094391
Delta D3 [mm],1.3825035400359849,0.07537335056186784,0.04579002576174905,0.0899451263596078,0.1456656578494621,0.018486667090006348,0.09188767634959322,0.4031006226188445,0.15887359178333016,1.6165715808114178,0.36339060409772833,0.10064784337533023,0.20918120112120575,0.12284214514523412,2.5354383976847403,0.4813593202940524
setup length [m],0.33080564975365223,0.33448055205416805,0.3384860106650138,0.3435188145877672,0.3485041622677823,0.35358427570707607,0.35997135386535173,0.36647639880282945,0.3709468750951074,0.3786730501920189,0.3698912326864693,0.37302942981989584,0.3762673507572768,0.384340426279003,0.3867944702475906,0.39072069498538464
Angle accept. x [mrad],0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Angle accept. y [mrad],0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
beam size x [mm],0.038855,0.042441,0.041528,0.038961,0.037907,0.037005,0.033199,0.031807,0.032566,0.025296,0.054722,0.050291,0.049115,0.043212,0.03385,0.041091
beam size y [mm],0.014606,0.010753,0.011353,0.012849,0.013215,0.016456,0.015872,0.012062,0.023989,0.019661,0.0094026,0.011893,0.014132,-0.0035299,0.017153,0.014308
number of func. evaluations [-],466,425,612,579,425,435,429,348,344,558,425,562,432,492,325,440
