D1 [m],D2 [m],setup length [m],Pz [MeV],"f(x',y') [mrad^2]",D1 + l1 + D2 + l2 [m],l1 [m],l2 [m],int Grad1 [T],int Grad2 [m]
0.18849297181340235,0.023433792182429313,1.2,550.0,1.4551934214876035e-05,0.44192676399583164,0.08,0.15,15.839999999999982,-9.900000000000004
0.38944297546439455,0.06542724320129198,0.11208896826727097,15.861481116067425,-9.915100855875814,,,,,
0.20601294978133058,0.033960481265007114,1.2,600.0,1.6276950027777778e-05,0.4699734310463377,0.08,0.15,15.839999999999982,-9.900000000000004
0.42168683053504297,0.06648923856002421,0.11522416092868103,15.860278983498151,-9.914287946794742,,,,,
0.2226212568244034,0.04420923947253506,1.2,650.0,1.3753420293491123e-06,0.49683049629693843,0.08,0.15,15.839999999999982,-9.900000000000004
0.45197905608562816,0.06736361931958297,0.11778494046910667,15.859257165794286,-9.913587348401897,,,,,
0.2395517882332113,0.05465125268032173,1.2,700.0,9.485324349732651e-06,0.524203040913533,0.08,0.15,15.839999999999982,-9.900000000000004
0.4823926810107708,0.06814667405092495,0.12004296604631287,15.858316175130883,-9.912940496206282,,,,,
0.25653762818498604,0.06488344139908728,1.2,750.0,4.932085247217778e-07,0.5514210695840733,0.08,0.15,15.839999999999982,-9.900000000000004
0.5122657365563382,0.06884123191435665,0.12200343505790819,15.857460077787556,-9.91235549470609,,,,,
0.27409855414629986,0.07504865870570736,1.2,800.0,4.23706000390625e-06,0.5791472128520072,0.08,0.15,15.839999999999982,-9.900000000000004
0.5423873870337773,0.06947922965174813,0.12376094453002197,15.856655150688926,-9.91181147221803,,,,,
0.2905210077841694,0.08566401962520283,1.2,850.0,2.7829647403460204e-06,0.6061850274093722,0.08,0.15,15.839999999999982,-9.900000000000004
0.5714708662956944,0.07001364401692313,0.12527219486939908,15.855966709291888,-9.911325125419152,,,,,
0.3062538109067269,0.0962812773054548,1.2,900.0,2.5422494296419752e-05,0.6325350882121817,0.08,0.15,15.839999999999982,-9.900000000000004
0.5995999818268367,0.07047737679322605,0.126587516821429,15.855358467510044,-9.910888146075152,,,,,
0.3234051200413306,0.10703746843844497,1.2,950.0,3.2972319202216066e-05,0.6604425884797757,0.08,0.15,15.839999999999982,-9.900000000000004
0.6292212237483441,0.07093650022138137,0.12784213504718728,15.854746025791913,-9.910460618841773,,,,,
0.3429793996918846,0.11626033306567875,1.2,1000.0,2.3887431620000002e-05,0.6892397327575635,0.08,0.15,15.839999999999982,-9.900000000000004
0.6596651208545977,0.07140949522544011,0.12901589287159423,15.85410409565682,-9.910053247780665,,,,,
