D1 [cm],D2 [cm],D3 [cm],D4 [cm],setup length [m],Pz [eV/c],"f(x',y') [mrad^2]",x acceptance [mrad],y acceptance [mrad],beam ratio [-]
33.0,166.8528,199.9954,,3.0,650000000.0,1000000000.0,0.0,0.0,0.0
33.0,90.819,146.0315,,3.0,700000000.0,243.22152061000003,0.0,0.0,0.0
33.0,94.3972,142.4552,,3.0,750000000.0,191.84827969,0.0,0.0,0.0
33.0,10.5343,35.6109,,3.0,800000000.0,2.5343308188999995e-10,10.0,9.0,3.16
33.0,11.5591,41.5267,,3.0,850000000.0,1.3119806644e-12,10.0,9.1,8.87
33.0,12.5477,48.2874,,3.0,900000000.0,1.2843419129000002e-10,10.0,9.1,2.59
33.0,129.7029,107.1517,,3.0,950000000.0,82.32303529,0.0,0.0,0.0
33.0,14.2313,66.5764,,3.0,1000000000.0,6.612685162400001e-24,9.3,9.1,0.18
5.0,2.5001,4.8047,,3.0,200000000.0,14.157082810000002,0.0,0.0,0.0
5.0,2.5001,4.8047,,3.0,250000000.0,0.7352042669,33.7,36.0,0.76
5.0,130.3991,134.4531,,3.0,300000000.0,1756.13565125,0.0,0.0,0.0
5.0,5.1347,8.6915,,3.0,350000000.0,3.8699171744e-12,26.9,37.2,1.91
5.0,6.8162,11.6103,,3.0,400000000.0,3.6880522729000007e-10,23.5,35.3,0.07
5.0,127.6706,137.1777,,3.0,450000000.0,570.252665,0.0,0.0,0.0
5.0,126.1538,138.7019,,3.0,500000000.0,436.9961410000001,0.0,0.0,0.0
5.0,11.9966,21.3349,,3.0,550000000.0,1.5208890481000002e-10,16.6,29.2,0.24
5.0,13.7377,24.9617,,3.0,600000000.0,7.2661034e-12,15.0,27.6,0.93
5.0,15.4739,28.8289,,3.0,650000000.0,1.103917508e-10,13.6,26.2,1.11
5.0,17.1982,32.9791,,3.0,700000000.0,2.96581841e-12,12.4,24.9,2.41
5.0,18.9035,37.4694,,3.0,750000000.0,8.428387225e-21,11.3,23.8,4.69
5.0,20.5814,42.378,,3.0,800000000.0,2.8099901600000003e-21,10.4,22.7,35.24
5.0,22.2216,47.8186,,3.0,850000000.0,6.7548135604e-14,9.5,21.8,0.36
5.0,23.8084,53.9694,,3.0,900000000.0,6.460465242100001e-14,8.7,21.0,0.38
5.0,25.3195,61.1278,,3.0,950000000.0,1.8004764560000004e-11,7.9,20.3,1.08
5.0,26.7141,69.8858,,3.0,1000000000.0,1.7863495200000002e-10,7.2,19.7,2.0
8.0,2.5001,4.8047,,3.0,200000000.0,26.52009149,0.0,0.0,0.0
8.0,2.5001,4.8046,,3.0,250000000.0,2.7523297204,34.8,26.4,0.43
8.0,2.6153,5.3049,,3.0,300000000.0,1.50898965509e-17,33.9,27.0,5.84
8.0,4.0944,8.0929,,3.0,350000000.0,2.87008161876e-23,29.2,27.4,0.03
8.0,124.5515,137.2981,,3.0,400000000.0,888.5811978900001,0.0,0.0,0.0
8.0,136.5873,125.2641,,3.0,450000000.0,632.01849521,0.0,0.0,0.0
8.0,8.8522,17.3939,,3.0,500000000.0,4.0710710900000016e-10,20.0,27.8,0.41
8.0,10.4964,20.8412,,3.0,550000000.0,2.4765974260000003e-11,17.9,26.4,2.5
8.0,12.1524,24.4967,,3.0,600000000.0,5.9679547684e-14,16.1,25.1,2.3
8.0,130.4741,131.3818,,3.0,650000000.0,239.73358756,0.0,0.0,0.0
8.0,15.467,32.5718,,3.0,700000000.0,1.0751309669e-12,13.2,22.9,2.48
8.0,17.1089,37.0922,,3.0,750000000.0,2.2150394269e-20,12.0,22.0,1.78
8.0,18.7285,42.0327,,3.0,800000000.0,7.506083140000002e-13,11.0,21.1,0.4
8.0,20.3143,47.5098,,3.0,850000000.0,2.286209061e-09,10.0,20.3,2.34
8.0,21.8505,53.7021,,3.0,900000000.0,1.2128306319999996e-09,9.2,19.6,2.14
8.0,23.3136,60.915,,3.0,950000000.0,2.7130068890000006e-09,8.3,19.0,1.9
8.0,24.6601,69.7619,,3.0,1000000000.0,1.6459527925000004e-10,7.5,18.5,1.7
