D1 [cm],D2 [cm],D3 [cm],D4 [cm],setup length [m],Pz [eV/c],"f(x',y') [mrad^2]",x acceptance [mrad],y acceptance [mrad],beam ratio [-]
34.0,45.8544,59.994099999999996,,1.2,200000000.0,1000000000.0,0.0,0.0,0.0
34.0,45.8544,59.994099999999996,,1.2,250000000.0,1000000000.0,0.0,0.0,0.0
34.0,45.8544,59.994099999999996,,1.2,300000000.0,1000000000.0,0.0,0.0,0.0
34.0,2.5002,4.8058,,1.2,350000000.0,0.025828820569,10.0,8.3,1.68
34.0,2.7255000000000003,5.3277,,2.0,400000000.0,8.285641065999998e-17,10.0,8.4,8.02
34.0,3.0835000000000004,9.9532,,2.0,450000000.0,3.9862377e-27,10.0,8.5,2.19
34.0,3.5980000000000003,15.056,,2.0,500000000.0,2.239743866e-11,9.9,8.6,1.8
34.0,4.1411,21.0725,,2.0,550000000.0,1.747616593e-13,9.9,8.6,1.43
34.0,4.6157,28.7021,,2.0,600000000.0,8.01003188e-12,9.9,8.7,0.66
34.0,4.8067,40.2423,,2.0,650000000.0,1.32163323641e-11,9.8,8.7,0.16
34.0,42.07770000000001,59.994099999999996,,1.2,700000000.0,1000000000.0,0.0,0.0,0.0
34.0,39.2018,59.994099999999996,,1.2,750000000.0,1000000000.0,0.0,0.0,0.0
34.0,37.5512,59.994099999999996,,1.2,800000000.0,1000000000.0,0.0,0.0,0.0
34.0,36.731500000000004,59.994099999999996,,1.2,850000000.0,1000000000.0,0.0,0.0,0.0
34.0,36.2446,59.994099999999996,,1.2,900000000.0,1000000000.0,0.0,0.0,0.0
34.0,35.9161,59.994099999999996,,1.2,950000000.0,1000000000.0,0.0,0.0,0.0
34.0,35.8656,59.994099999999996,,1.2,1000000000.0,1000000000.0,0.0,0.0,0.0
33.0,46.851499999999994,59.994099999999996,,1.2,200000000.0,1000000000.0,0.0,0.0,0.0
33.0,46.851499999999994,59.994099999999996,,1.2,250000000.0,1000000000.0,0.0,0.0,0.0
33.0,2.5000999999999998,4.8058,,1.2,300000000.0,0.481732734116,10.4,8.3,0.07
33.0,2.5002,4.8058,,1.2,350000000.0,0.026650032625,10.3,8.5,2.06
33.0,2.6546,5.7637,,2.0,400000000.0,8.932214953e-25,10.3,8.6,0.28
33.0,3.0879000000000003,10.302100000000001,,2.0,450000000.0,4.84760189e-18,10.2,8.7,0.67
33.0,3.648,15.3618,,2.0,500000000.0,4.7906270389e-14,10.2,8.8,0.25
33.0,4.2295,21.334400000000002,,2.0,550000000.0,2.8255781924e-12,10.2,8.8,2.52
33.0,4.7428,28.889499999999998,,2.0,600000000.0,1.075532473e-11,10.1,8.9,0.47
33.0,4.9878,40.1828,,2.0,650000000.0,8.82297430276e-11,10.1,8.9,19.32
33.0,42.9794,59.994099999999996,,1.2,700000000.0,1000000000.0,0.0,0.0,0.0
33.0,39.801,59.994099999999996,,1.2,750000000.0,1000000000.0,0.0,0.0,0.0
33.0,38.037,59.994099999999996,,1.2,800000000.0,1000000000.0,0.0,0.0,0.0
33.0,37.152,59.994099999999996,,1.2,850000000.0,1000000000.0,0.0,0.0,0.0
33.0,36.6395,59.994099999999996,,1.2,900000000.0,1000000000.0,0.0,0.0,0.0
33.0,36.4145,59.994099999999996,,1.2,950000000.0,1000000000.0,0.0,0.0,0.0
33.0,36.1949,59.994099999999996,,1.2,1000000000.0,1000000000.0,0.0,0.0,0.0
5.0,2.5003,4.805899999999999,,1.2,200000000.0,1.1869418329,34.6,35.0,0.25
5.0,2.5000999999999998,4.9498,,1.2,250000000.0,0.0449402301,33.5,36.0,0.78
5.0,3.3451,7.0936,,2.0,300000000.0,1.2804956744e-12,30.0,36.7,0.16
5.0,4.930899999999999,10.400699999999999,,2.0,350000000.0,1.5844623425e-12,25.6,37.2,0.49
5.0,6.543200000000001,14.033299999999999,,2.0,400000000.0,4.738448098e-09,22.1,35.7,1.51
5.0,8.1599,18.0652,,2.0,450000000.0,1.6343352050000002e-17,19.2,33.5,0.49
5.0,9.7602,22.610300000000002,,2.0,500000000.0,1.6305290369999994e-09,16.8,31.6,2.21
5.0,11.3203,27.8654,,2.0,550000000.0,5.4390429e-09,14.8,29.9,2.11
5.0,12.8057,34.1866,,2.0,600000000.0,2.639718304e-09,12.9,28.5,1.98
5.0,14.1492,42.4115,,2.0,650000000.0,8.663705919999997e-10,11.2,27.3,2.07
5.0,15.113399999999999,55.9695,,2.0,700000000.0,3.5135329699999997e-16,9.3,26.5,3.65
5.0,13.5249,33.1369,,1.2,750000000.0,1.0820464058,13.6,27.7,2.22
5.0,14.195,32.9173,,1.2,800000000.0,1.2360208484,13.7,27.1,2.08
5.0,14.681099999999999,32.8021,,1.2,850000000.0,1.3754062229,13.8,26.7,1.95
5.0,15.0867,32.6053,,1.2,900000000.0,1.5008196943999998,13.8,26.3,1.85
5.0,15.4755,32.4729,,1.2,950000000.0,1.6133505736,13.9,25.9,1.78
5.0,15.8461,32.3199,,1.2,1000000000.0,1.7142294436000003,14.0,25.6,1.72
8.0,2.5002,4.8058,,1.2,200000000.0,2.40292786,36.1,25.6,0.17
8.0,2.5000999999999998,4.8058,,1.2,250000000.0,0.180416806281,34.8,26.4,0.22
8.0,2.5000999999999998,9.2038,,1.2,300000000.0,0.0128843441049999,29.6,27.0,0.94
8.0,3.8787000000000003,9.8234,,2.0,350000000.0,7.1008685316e-26,27.8,27.4,0.24
8.0,5.3511,13.4891,,2.0,400000000.0,2.8311734125e-08,23.9,27.7,4.27
8.0,6.8445,17.5579,,2.0,450000000.0,4.470289808000001e-13,20.8,27.9,2.82
8.0,8.3346,22.150199999999998,,2.0,500000000.0,2.9239773149e-10,18.1,28.2,2.86
8.0,9.794400000000001,27.462,,2.0,550000000.0,3.95490056e-09,15.8,27.0,1.79
8.0,11.186900000000001,33.869699999999995,,2.0,600000000.0,1.2201649299999999e-09,13.8,25.9,1.79
8.0,12.4396,42.246,,2.0,650000000.0,2.9217432339999998e-09,11.9,25.0,1.93
8.0,13.2825,56.4732,,2.0,700000000.0,3.6168888529e-12,9.7,24.4,0.39
8.0,13.577,31.577199999999998,,1.2,750000000.0,1.0084130450000002,14.1,24.3,2.51
8.0,14.395999999999999,31.274,,1.2,800000000.0,1.1592638545,14.1,23.7,2.3
8.0,15.080499999999999,30.8736,,1.2,850000000.0,1.2975383909000002,14.1,23.3,2.13
8.0,15.8675,30.586100000000002,,1.2,900000000.0,1.4234813881000008,14.1,22.8,2.04
8.0,16.3124,30.503899999999998,,1.2,950000000.0,1.5375641896000003,14.1,22.6,1.93
8.0,16.7128,30.4179,,1.2,1000000000.0,1.6407032744,14.2,22.3,1.84
6.0,2.5002,4.805899999999999,,1.2,200000000.0,1.5526010835999997,36.3,31.2,0.22
6.0,2.5000999999999998,4.8058,,1.2,250000000.0,0.0758578973,34.5,32.2,0.52
6.0,3.0068,6.9108,,2.0,300000000.0,2.831882992900001e-12,30.9,32.8,0.12
6.0,4.5392,10.2256,,2.0,350000000.0,3.596749424929601e-19,26.4,33.3,0.01
6.0,6.1051,13.8708,,2.0,400000000.0,2.6542034989e-08,22.8,33.7,2.23
6.0,7.6813,17.9136,,2.0,450000000.0,1.9776647441e-18,19.8,32.1,7.99
6.0,9.245800000000001,22.473699999999997,,2.0,500000000.0,1.359479466e-09,17.3,30.4,1.96
6.0,10.773599999999998,27.745700000000003,,2.0,550000000.0,5.332725539999999e-13,15.1,28.9,0.51
6.0,12.2292,34.0936,,2.0,600000000.0,6.841641041e-13,13.2,27.5,0.32
6.0,13.5442,42.3638,,2.0,650000000.0,1.0471178329999999e-09,11.4,26.5,2.25
6.0,14.470999999999998,56.119099999999996,,2.0,700000000.0,2.402640836e-11,9.4,25.8,0.39
