,setup 1,setup 2,setup 3,setup 4,setup 5,setup 6,setup 7,setup 8,setup 9,setup 10,setup 11,setup 12,setup 13,setup 14,setup 15,setup 16
D1 [m],0.09,0.1,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09,0.1,0.01,0.02,0.03,0.04
D2 [m],0.239947,0.234626,0.31552,0.307193,0.299304,0.291823,0.284724,0.277985,0.271582,0.265498,0.259713,0.254212,0.336406,0.328001,0.320014,0.312421
D3 [m],0.250369,0.248667,0.279229,0.278731,0.278084,0.27729,0.276351,0.275268,0.274043,0.272679,0.271178,0.269542,0.299701,0.299224,0.298605,0.297843
Pz [eV],8.5E+8,8.5E+8,9.0E+8,9.0E+8,9.0E+8,9.0E+8,9.0E+8,9.0E+8,9.0E+8,9.0E+8,9.0E+8,9.0E+8,9.5E+8,9.5E+8,9.5E+8,9.5E+8
F_ana [mrad],0.002236489888241754,0.002802109777171801,0.0016639948732708298,0.003191005031508273,0.001875759960030686,0.00082173521373154,0.0017234828432888768,0.003085905963778538,0.0032073995870659944,0.001989473107274361,0.0020883366104730277,0.004067883680979006,0.0015724189421524688,0.0006283821401158856,0.0020110322014417017,0.002244187881810315
F_num [mrad],0.0031225657536412504,0.00481929304066112,0.0702557498459717,0.03612560128082624,0.000993877563130302,0.0016435779053600272,0.0006051113278858713,0.027114775162238862,0.00317232081761548,0.043507285114388505,0.0020760378292897204,0.0009717682914901468,0.15799301713241595,0.13170700901134566,0.09224320375863204,0.06047443793410554
Delta D2 [mm],1.0307921686037447,0.18934655627314556,16.035846643454864,8.010660809413094,0.23568599638512655,0.6643243938665444,0.30802961009424035,5.304022397769781,0.9483410811939041,7.094357760547565,0.45498384634928835,0.24181766105346725,37.2090703399236,29.85247426252513,21.075254903997475,13.876626256676294
Delta D3 [mm],0.710472277059282,0.8205751407101003,9.642564031136946,4.653792643874777,0.6352382454906658,0.1078573161242824,0.26535142529049427,1.0639561470759396,0.1215927645440984,10.390508965369527,0.8727725126900787,0.10132467141460433,0.11150841120982635,1.8161293683174873,0.5438559610429494,0.8889248203076128
setup length [m],0.8366363198915444,0.8399242285844369,0.854355717387682,0.8585671318344616,0.8637875522491055,0.8658851817099907,0.8676483810353847,0.8756209785448457,0.8724517483166497,0.870880848795178,0.8764732113336592,0.8796135070103611,0.8650094380712862,0.8715563963691574,0.8840876010570454,0.8932762985636313
Angle accept. x [mrad],0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Angle accept. y [mrad],0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
beam size x [mm],0.10939,0.10573,0.12425,0.1273,0.13009,0.12755,0.12488,0.121,0.12031,0.12876,0.11621,0.114,0.14229,0.1415,0.13583,0.13276
beam size y [mm],0.029208,0.031538,0.045537,0.036723,0.026846,0.027208,0.028225,0.020662,0.028882,0.023904,0.031545,0.032055,0.078012,0.069745,0.057944,0.048455
number of func. evaluations [-],309,239,313,322,190,666,710,371,412,331,330,290,205,310,320,184
