0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0.01,0.048333,0.016328,2.5E+8,0.0016207882463739674,0.023165471440054916,1.23785378638374,1.3825035400359849,0.33080564975365223,32.623589029774465,0.17865600239999999,55.147058823529406,0.023836992000000005,7.494905498143388,466
0.02,0.043028,0.015318,2.5E+8,0.004205765652624978,0.00227240590564626,0.05917870360614558,0.07537335056186784,0.33448055205416805,34.6628460507464,0.18366351080000004,50.62436719541006,0.0191184612,9.606605305661319,425
0.03,0.0386,0.01404,2.5E+8,0.0016151529068964337,0.0016968283189527456,0.19977936074790786,0.04579002576174905,0.3384860106650138,36.59339855090142,0.17022742479999997,47.14016341923318,0.021675147600000003,7.853576268149609,612
0.04,0.034897,0.012513,2.5E+8,0.002134650616845764,0.0006014847798706132,0.1987597141267644,0.0899451263596078,0.3435188145877672,38.588517772156244,0.0908687403,41.17792392672683,0.010921264529999999,8.320349722359486,579
0.05,0.031806,0.010756,2.5E+8,0.0011940402506381432,0.0018535788768757591,0.20350339006715984,0.1456656578494621,0.3485041622677823,39.53610964681075,0.08629149480000001,36.255153411092,0.01275846208,6.763471510823349,425
0.06,0.029237,0.008785,2.5E+8,0.0008602176887276848,0.006163591992856114,0.4192376258339778,0.018486667090006348,0.35358427570707607,40.42945060868784,0.0823768305,32.219460554174724,0.0178761528,4.608196820738744,435
0.07,0.027124,0.006615,2.5E+8,0.006332801395780543,0.0029681515813044317,0.14046618900210445,0.09188767634959322,0.35997135386535173,37.987323087609624,0.030589152,29.098769537745262,0.0190920444,1.6021936341191412,429
0.08,0.025416,0.004255,2.5E+8,0.0024869649901838185,0.013007120454950817,0.4022981802105918,0.4031006226188445,0.36647639880282945,34.81894150417828,0.03197340159999999,26.56344869459624,0.015894208799999997,2.0116384528684437,348
0.09,0.024073,0.001713,2.5E+8,0.0006767479247105232,0.01681546395510989,0.9979984966759781,0.15887359178333016,0.3709468750951074,32.148433912005146,0.035455692899999995,24.3207560280731,0.034524009,1.0269865501425397,344
0.1,0.02307,-0.001013,2.5E+8,0.0010351686070124034,0.01659216941649283,1.0005213887924955,1.6165715808114178,0.3786730501920189,29.8227675528289,0.029687385600000005,22.52977148374638,0.030544916999999998,0.9719255612971548,558
0.01,0.068039,0.035947,3.0E+8,0.003844901562820273,0.0072496751344839966,0.26862329056705214,0.36339060409772833,0.3698912326864693,28.464078333143572,0.2883792654,48.910385305146455,0.01730264431,16.666774178171842,425
0.02,0.062168,0.034986,3.0E+8,0.0031869254319624248,0.0011440598056240087,0.2252180234794815,0.10064784337533023,0.37302942981989584,30.073981995709445,0.2508414084,45.824847250509166,0.023357852000000002,10.73906146849462,562
0.03,0.057126,0.033762,3.0E+8,0.0010407938033806484,0.005985973985539492,0.4114680416019631,0.20918120112120575,0.3762673507572768,31.640896913957857,0.23284422119999998,43.03543250609668,0.029556342900000004,7.87797807014886,432
0.04,0.052785,0.032289,3.0E+8,0.0019295616854727513,0.04707234791490884,3.143584133857749,0.12284214514523412,0.384340426279003,32.78115302242231,0.1977340454,39.7456279809221,-0.007991746919999999,-24.74228067772697,492
0.05,0.049046,0.030585,3.0E+8,0.004011310411546055,0.028580446781361242,1.3719681500941674,2.5354383976847403,0.3867944702475906,34.2434480869327,0.14828092039999996,36.95881731784583,0.016244838,9.127879293102213,325
0.06,0.045828,0.028663,3.0E+8,0.004852217316741789,0.003961177374075653,0.2516643349094391,0.4813593202940524,0.39072069498538464,35.689642865640394,0.1727013639,32.87310979618672,0.0152337276,11.336776423650898,440
