Unnamed: 0,D1 [m],D2 [m],D3 [m],Pz [eV],F_ana [mrad],F_num [mrad],Delta D2 [mm],Delta D3 [mm],setup length [m],Angle accept. x [mrad],Angle accept. y [mrad],beam size x [mm],beam size y [mm],number of func. evaluations [-]
setup 8,0.1,0.068577,0.060294,400000000.0,0.0041466536301124,0.0011751014926619,0.2217988480977539,0.0293606381614117,0.4851221594862591,0.1,0.1,0.04887,0.020749,620.0
setup 7,0.09,0.071263,0.062794,400000000.0,0.0017537109655313,0.0101893791059612,0.7115756662976341,0.1375418552934659,0.4794829661889959,0.1,0.1,0.050205,0.023868,436.0
setup 6,0.08,0.074283,0.065125,400000000.0,0.0024314112118788,0.0009324968531212,0.0368241132241015,0.0628857493903539,0.4753819383638338,0.1,0.1,0.051552,0.018928,331.0
setup 5,0.07,0.07767,0.067276,400000000.0,0.0039658299512838,0.0085810179306842,0.5359306899346689,0.0894160224741286,0.4703206532875912,0.1,0.1,0.052888,0.021507,439.0
setup 4,0.06,0.08146,0.069237,400000000.0,0.0007860411181356,0.0027348196001976,0.1055292569648591,0.010798583536406,0.4666022693265715,0.1,0.1,0.055161,0.018366,353.0
setup 3,0.05,0.085699,0.070997,400000000.0,0.0025266664502116,0.0014799039023071,0.0302076920851157,0.1766007816246112,0.4625496069104605,0.1,0.1,0.057035,0.016669,293.0
setup 2,0.04,0.090439,0.072546,400000000.0,0.0055506702861005,0.0080402228358423,1.0074114221751,0.5212390052481697,0.4594711724169269,0.1,0.1,0.059493,0.013153,292.0
setup 1,0.03,0.095744,0.073872,400000000.0,0.0017733687743952,0.0032776807044959,0.3006650800868732,0.2123925191186843,0.4557042725609681,0.1,0.1,0.061771,0.014306,297.0
setup 15,0.01,0.108367,0.075816,400000000.0,0.0011881974186241,0.0040303003331792,0.0549698249929925,0.5802981798359169,0.449547731995171,0.1,0.1,0.067392,0.014318,293.0
setup 16,0.02,0.101689,0.074965,400000000.0,0.0006888707752546,0.0006888707752546,0.0509572775662381,0.0559620931096238,0.4526590048155433,0.1,0.1,0.063191,0.014363,356.0
setup 10,0.02,0.121823,0.095143,450000000.0,0.0018066571974604,0.0199109068503907,2.662142699912662,1.2595446665082388,0.4943685980334044,0.1,0.1,0.072542,0.0086479,422.0
setup 16,0.08,0.092069,0.085796,450000000.0,0.0010622246408619,0.007124053420336,1.1421356586532594,0.9347661912977452,0.5136576305326445,0.1,0.1,0.056591,0.022343,230.0
setup 15,0.07,0.095877,0.087853,450000000.0,0.0028846144806071,0.0034679097227203,0.0631270021565627,0.0620838059602196,0.5097289568038037,0.1,0.1,0.059223,0.020705,577.0
setup 14,0.06,0.100083,0.089722,450000000.0,0.001369154121671,0.0050537644934796,0.0573096431606828,0.0134719081268108,0.5058488377350339,0.1,0.1,0.062161,0.01699,223.0
setup 13,0.05,0.104729,0.091394,450000000.0,0.0028459198080023,0.0041972545818298,0.4416838867189326,0.1044390328309163,0.5015768770804502,0.1,0.1,0.063957,0.019,460.0
setup 12,0.04,0.109861,0.092861,450000000.0,0.0034574429018789,0.0017088356428635,0.3126095062246092,0.1190174671532179,0.4989155920390714,0.1,0.1,0.065706,0.016661,479.0
setup 9,0.01,0.128798,0.095942,450000000.0,0.0020270423917071,0.003830879424291,0.3571971652470418,0.2803582352017691,0.4906631610699546,0.1,0.1,0.072128,0.015458,233.0
setup 2,0.1,0.08551,0.081159,450000000.0,0.0017264077740989,0.0019357619292964,0.3248736820627568,0.3273735045555559,0.5226714998224928,0.1,0.1,0.054927,0.022741,490.0
setup 1,0.09,0.088623,0.083562,450000000.0,0.0021599458898114,0.0010884491742558,0.0116598936449746,0.2320573153825611,0.5179646025782624,0.1,0.1,0.056762,0.021271,309.0
setup 11,0.03,0.115537,0.094113,450000000.0,0.0017032038275041,0.0017032038275041,0.0080487801212419,0.0251205420888495,0.4956670717619676,0.1,0.1,0.06814,0.016559,348.0
setup 8,0.06,0.119077,0.11027,500000000.0,0.003836060344103,0.0024188224845159,0.0439510908563228,0.0798338362037465,0.5452232150729399,0.1,0.1,0.068094,0.018848,232.0
setup 11,0.09,0.106501,0.104395,500000000.0,0.001892902566642,0.0088450051554535,1.3664883864316772,1.0980492906781936,0.5571644390957535,0.1,0.1,0.063939,0.019419,367.0
setup 12,0.1,0.103008,0.102091,500000000.0,0.0031022206621615,0.0003208731533861,0.1032452029990083,0.059467968464108,0.5612617131714631,0.1,0.1,0.061409,0.023154,446.0
setup 10,0.08,0.110325,0.106531,500000000.0,0.0016162439064695,0.0008890054483725,0.1991174294961734,0.0062357963306197,0.5530613532258268,0.1,0.1,0.06402,0.021311,435.0
setup 9,0.07,0.114506,0.108492,500000000.0,0.0022072351393542,0.0019270175407608,0.0838033897784112,0.0830567377010926,0.5489987466520773,0.1,0.1,0.066479,0.020262,289.0
setup 7,0.05,0.124077,0.111858,500000000.0,0.0007311185099558,0.0055391899187155,1.0061966805366696,0.2222255911017712,0.5411510289105651,0.1,0.1,0.070024,0.020828,232.0
setup 5,0.03,0.135542,0.114429,500000000.0,0.0024822966453669,0.002939878025769,0.0541732644144532,0.0661697854770354,0.5359829965210625,0.1,0.1,0.073944,0.018266,301.0
setup 6,0.04,0.129548,0.113246,500000000.0,0.0019210731244801,0.0036796613305574,0.4468241661075567,0.4749071479496075,0.5387659170181579,0.1,0.1,0.073199,0.017851,227.0
setup 3,0.01,0.149339,0.116151,500000000.0,0.0016900629357512,0.0016872236183952,0.0429245260707145,0.1482033954692124,0.5313847211306015,0.1,0.1,0.079593,0.0159,286.0
setup 4,0.02,0.142116,0.115399,500000000.0,0.0010110252776266,0.001486142710913,0.0102988164426276,0.1963761431427874,0.5333289226732998,0.1,0.1,0.077657,0.016777,486.0
setup 2,0.06,0.138361,0.130858,550000000.0,0.0019214892889639,0.0183919273649704,2.5293956727538145,2.5681407891818275,0.585257745116428,0.1,0.1,0.070169,0.025207,321.0
setup 3,0.07,0.133467,0.129167,550000000.0,0.0017271071397183,0.0037061359830261,0.044218375030991,0.1619814039020284,0.588427800221067,0.1,0.1,0.072365,0.022988,187.0
setup 4,0.08,0.128954,0.127298,550000000.0,0.0042831077193478,0.0016630983096131,0.0850961230950408,0.0250764640461753,0.5921418274128588,0.1,0.1,0.071368,0.022222,446.0
setup 15,0.03,0.155707,0.134797,550000000.0,0.0037324012787728,0.0032357170611016,0.0186849017731471,0.2029645375700162,0.5763197203642031,0.1,0.1,0.08235,0.019101,449.0
setup 6,0.1,0.120958,0.123053,550000000.0,0.0022423720519806,0.006721266254275,0.4900456233165318,1.5127208647910533,0.5989883247585255,0.1,0.1,0.06973,0.024175,386.0
setup 1,0.05,0.143672,0.132364,550000000.0,0.0019831122675696,0.0009589377073676,0.1504064561654028,0.0791726857502506,0.5821072337704151,0.1,0.1,0.076417,0.020334,275.0
setup 5,0.09,0.124794,0.125257,550000000.0,0.0013554241578204,0.0008544909934289,0.052138259249615,0.4017708851910412,0.5957013673740585,0.1,0.1,0.069299,0.02352,432.0
setup 16,0.04,0.149439,0.133679,550000000.0,0.0011125490803548,0.0124276301178908,0.1545730418065494,2.021433039578663,0.5772511400022279,0.1,0.1,0.082274,0.020072,191.0
setup 13,0.01,0.169963,0.136421,550000000.0,0.0036301520265048,0.0193073916466815,0.1635885144883053,2.191710610082831,0.5700287008754288,0.1,0.1,0.093123,0.018744,176.0
setup 14,0.02,0.162528,0.135713,550000000.0,0.0019764275496899,0.0180366816000198,2.304311473484144,0.5392153281773282,0.5770845268016614,0.1,0.1,0.082492,0.011902,243.0
setup 16,0.1,0.139279,0.144021,600000000.0,0.0043114022596418,0.0173049633503095,2.630471623733921,1.3421163668934366,0.6380116447431595,0.1,0.1,0.072396,0.030833,289.0
setup 15,0.09,0.143423,0.146129,600000000.0,0.0023087596778356,0.0190077433234458,2.6419266845257585,1.524033791262258,0.6344341071067364,0.1,0.1,0.073578,0.030517,121.0
setup 14,0.08,0.147887,0.148078,600000000.0,0.0027922023677556,0.0064396354539894,0.759074760621703,0.2519288380291584,0.6324721459225925,0.1,0.1,0.077706,0.021337,383.0
setup 13,0.07,0.152696,0.149859,600000000.0,0.0011724726135157,0.0014062393257866,0.3360683003391651,0.1580690491524983,0.6287329992511866,0.1,0.1,0.079595,0.022736,115.0
setup 12,0.06,0.157878,0.151468,600000000.0,0.0003321992474404,0.0035604767583772,0.2007741707580057,0.1269491000138456,0.6256737232707718,0.1,0.1,0.080117,0.022227,245.0
setup 11,0.05,0.163464,0.152898,600000000.0,0.0024476471663847,0.0033787866206343,0.3583176307710989,0.2065821980566373,0.6217971001711723,0.1,0.1,0.084238,0.022003,326.0
setup 10,0.04,0.16949,0.154145,600000000.0,0.0005609119541227,0.0113641376365398,0.0056017679986863,1.908241576529968,0.6215488433445286,0.1,0.1,0.082494,0.019037,181.0
setup 9,0.03,0.175998,0.155204,600000000.0,0.0026919380678962,0.001994326376109,0.5313267912422648,0.0401284067808871,0.6167108016155386,0.1,0.1,0.08892,0.02004,231.0
setup 8,0.02,0.183033,0.15607,600000000.0,0.0022746049195312,0.0022746049195312,0.0076854504658385,0.014874145962046,0.615080440403572,0.1,0.1,0.091145,0.018227,178.0
setup 7,0.01,0.190649,0.15674,600000000.0,0.0027527462998592,0.0003432815446377,0.1400669464073078,0.1645339781166099,0.6134134670317093,0.1,0.1,0.094297,0.018251,255.0
setup 2,0.02,0.203611,0.176462,650000000.0,0.0018125934867381,0.0010153154309343,0.0557096215090258,0.2776871547020276,0.656294977533193,0.1,0.1,0.098136,0.019892,372.0
setup 1,0.01,0.211384,0.177095,650000000.0,0.0013990923198726,0.0017784607250463,0.6569901835984382,0.709454354099831,0.6545314641705013,0.1,0.1,0.10066,0.019572,235.0
setup 6,0.06,0.177582,0.172091,650000000.0,0.0019153120789477,0.0027215185738282,0.7766192866842381,0.4205256751681208,0.6660290936115161,0.1,0.1,0.088239,0.022263,302.0
setup 7,0.07,0.172143,0.170559,650000000.0,0.0028375199939341,0.0046578166508207,0.1980965960942382,0.2686173985842754,0.66863147919751,0.1,0.1,0.086889,0.022727,231.0
setup 5,0.05,0.183413,0.173452,650000000.0,0.0013988313506122,0.0023674672607597,0.0705386083292847,0.2151272638512558,0.663009588655522,0.1,0.1,0.089185,0.021811,237.0
setup 9,0.09,0.16233,0.167,650000000.0,0.0008459829708583,0.000686009970773,0.4135436145938365,0.4014903708234596,0.6753420532437704,0.1,0.1,0.082431,0.025444,384.0
setup 10,0.1,0.157907,0.164982,650000000.0,0.0027756947848172,0.0023592298336633,0.4535717240378989,0.737471541965462,0.6791728998179275,0.1,0.1,0.079978,0.026713,459.0
setup 4,0.04,0.18967,0.174636,650000000.0,0.0048552547048039,0.0030770449146647,0.5411192595135839,0.1635732858914496,0.6606835459736221,0.1,0.1,0.092605,0.020643,238.0
setup 8,0.08,0.167068,0.16886,650000000.0,0.0018221364158883,0.0037113659840354,0.3788788460921677,0.4147866146957946,0.671134334539212,0.1,0.1,0.084457,0.025849,313.0
setup 3,0.03,0.196389,0.175641,650000000.0,0.00244911193295,0.0013826768382573,0.2672105969369343,0.062139165439623,0.6582350714314973,0.1,0.1,0.094868,0.021093,192.0
setup 15,0.05,0.203492,0.194018,700000000.0,0.0021959599909462,0.0054521664400493,1.1742037808061545,0.2687815983425379,0.7044154221824636,0.1,0.1,0.097215,0.021771,437.0
setup 16,0.06,0.197441,0.192723,700000000.0,0.0027154505494541,0.0031143999283119,0.8373429084995998,0.4668334127466145,0.706534509495753,0.1,0.1,0.095235,0.023366,241.0
setup 3,0.09,0.181469,0.187861,700000000.0,0.001353709957555,0.0016547547080693,0.0583986090372246,0.1522840616132448,0.7155406826706504,0.1,0.1,0.088526,0.026189,246.0
setup 11,0.01,0.232158,0.197481,700000000.0,0.0021252158070009,0.0041933426129511,0.4439623423189154,0.6922056564366286,0.6945028320012444,0.1,0.1,0.10934,0.02118,302.0
setup 12,0.02,0.224247,0.19688,700000000.0,0.0020415182125675,0.0010931044281386,0.0240756010005949,0.5812060500360594,0.6965698695509646,0.1,0.1,0.10506,0.02185,247.0
setup 4,0.1,0.176791,0.18593,700000000.0,0.0038922854993131,0.0012083235747201,0.1232852392651362,0.0391994911652371,0.7188050857480999,0.1,0.1,0.086973,0.027011,361.0
setup 13,0.03,0.21686,0.1961,700000000.0,0.0020627181487106,0.0028236171267307,1.0714449807688042,0.901781287100778,0.699129663693668,0.1,0.1,0.10261,0.021333,302.0
setup 14,0.04,0.209954,0.195145,700000000.0,0.0008957849838907,0.0060034824247672,0.899751596457582,0.5893780263340753,0.7007886264298765,0.1,0.1,0.09829,0.024505,247.0
setup 2,0.08,0.186455,0.18964,700000000.0,0.0017854902559469,0.001728264513544,0.3604615968698932,0.0784372679862588,0.7125338988648561,0.1,0.1,0.090233,0.025674,355.0
setup 1,0.07,0.191771,0.191262,700000000.0,0.0033919431099628,0.001438919626253,0.2647436688404947,0.3115993952727269,0.7090798557264322,0.1,0.1,0.09274,0.02458,255.0
setup 5,0.01,0.252964,0.217891,750000000.0,0.0023671994658855,0.0026770225575925,0.119728912479522,0.3802268054111934,0.7371154978929316,0.1,0.1,0.11443,0.021936,249.0
setup 6,0.02,0.244931,0.217319,750000000.0,0.0029697972526681,0.0026533833300482,1.0255286926035,0.349494705979031,0.7375739660133755,0.1,0.1,0.11234,0.023485,250.0
setup 7,0.03,0.237397,0.216577,750000000.0,0.0017499539980239,0.0027228045280147,1.0637204339268846,0.71012396321804,0.7396204035292911,0.1,0.1,0.1088,0.024108,243.0
setup 8,0.04,0.230324,0.215668,750000000.0,0.00268511202332,0.0027676720209029,0.0047652985488977,0.183229606227242,0.7418040050952238,0.1,0.1,0.10733,0.023992,297.0
setup 9,0.05,0.223679,0.214594,750000000.0,0.000973257776976,0.0067304468334411,1.5227428640806062,1.171272115882055,0.7446244707481985,0.1,0.1,0.10536,0.023018,183.0
setup 10,0.06,0.21743,0.213358,750000000.0,0.002803694147212,0.004659966659318,0.1645665440534738,1.0492733848563585,0.7480018399289098,0.1,0.1,0.10048,0.025063,252.0
setup 11,0.07,0.21155,0.211963,750000000.0,0.0034590949105221,0.0003564655512731,0.2553479232315081,0.0405202570137597,0.7498088681802453,0.1,0.1,0.099474,0.026389,229.0
setup 12,0.08,0.206015,0.210413,750000000.0,0.0024442117014694,0.007531436741788,1.332316008762241,1.6744850477137252,0.7520858309610484,0.1,0.1,0.099373,0.025694,179.0
setup 14,0.1,0.195892,0.206861,750000000.0,0.0026695718073961,0.0017993834067381,0.4651425784178431,0.0767125184826522,0.7592948550969004,0.1,0.1,0.093243,0.028221,284.0
