Unnamed: 0,D1 [m],D2 [m],D3 [m],Pz [eV],F_ana [mrad],F_num [mrad],Delta D2 [mm],Delta D3 [mm],setup length [m],Angle accept. x [mrad],Angle accept. y [mrad],beam size x [mm],beam size y [mm],number of func. evaluations [-]
setup 13,0.01,0.336406,0.299701,950000000.0,0.0015724189421524,0.1579930171324159,37.2090703399236,0.1115084112098263,0.8650094380712862,0.1,0.1,0.14229,0.078012,205.0
setup 4,0.08,0.285534,0.293415,950000000.0,0.0025605552996442,0.0040331210091927,0.4930957840158512,1.0946804994944048,0.9165367762835104,0.1,0.1,0.1239,0.030958,442.0
setup 3,0.07,0.291773,0.294726,950000000.0,0.0006355681483052,0.0050202017383507,0.3349236785405995,1.581791906839547,0.9112521317717012,0.1,0.1,0.12808,0.031162,561.0
setup 2,0.06,0.298321,0.295902,950000000.0,0.0036885374245641,0.0020316483244221,0.8762847030886478,0.0911010320783223,0.909255614264833,0.1,0.1,0.12941,0.030862,360.0
setup 1,0.05,0.305197,0.296942,950000000.0,0.0016703668225191,0.0248652963793565,6.1560847209700125,2.6893823668800443,0.90467229764591,0.1,0.1,0.12875,0.037076,375.0
setup 13,0.07,0.312035,0.315404,1000000000.0,0.0032997627263183,0.0972717499893982,13.519843230989148,15.684709860943224,0.9242344469080676,0.1,0.1,0.14733,0.056675,407.0
setup 12,0.06,0.318718,0.316535,1000000000.0,0.0028864765961289,0.1242329456344008,19.465706256508952,17.373897981882934,0.914413395761608,0.1,0.1,0.15192,0.064173,403.0
setup 11,0.05,0.325719,0.317534,1000000000.0,0.0036441614947748,0.1566932831393866,27.561970776703472,18.46568600737003,0.9032253432159264,0.1,0.1,0.15468,0.074717,185.0
setup 10,0.04,0.333058,0.3184,1000000000.0,0.0032799573731986,0.1790626452976723,33.630003666427434,18.78413756974012,0.8950438587638324,0.1,0.1,0.15681,0.081875,280.0
setup 9,0.03,0.340753,0.319131,1000000000.0,0.0017610035122054,0.2127505642765725,41.31037906964219,20.384024892257717,0.8841895960381,0.1,0.1,0.16221,0.09121,316.0
setup 8,0.02,0.348828,0.319726,1000000000.0,0.0022782936779309,0.2403305898132819,49.75617131529558,20.38767053384349,0.8744101581508609,0.1,0.1,0.16451,0.10002,508.0
setup 7,0.01,0.357306,0.320184,1000000000.0,0.0035297741188353,0.2750153137554343,59.36431250950586,21.46237686138141,0.8626633106291127,0.1,0.1,0.16785,0.11075,311.0
setup 14,0.08,0.305653,0.314143,1000000000.0,0.0035522675800113,0.069685262789201,6.008872396978616,15.074607827351262,0.9347125197756702,0.1,0.1,0.14486,0.046472,333.0
setup 15,0.09,0.299557,0.312754,1000000000.0,0.0020118319428819,0.0494859568463619,1.059015729893975,12.989461608396702,0.9442625226617092,0.1,0.1,0.14065,0.040061,319.0
