,setup 1,setup 2,setup 3,setup 4,setup 5,setup 6,setup 7,setup 8,setup 9,setup 10,setup 11,setup 12,setup 13,setup 14,setup 15,setup 16
D1 [m],0.07,0.08,0.09,0.1,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09,0.1,0.01,0.02
D2 [m],0.191771,0.186455,0.181469,0.176791,0.252964,0.244931,0.237397,0.230324,0.223679,0.21743,0.21155,0.206015,0.200803,0.195892,0.273796,0.265654
D3 [m],0.191262,0.18964,0.187861,0.18593,0.217891,0.217319,0.216577,0.215668,0.214594,0.213358,0.211963,0.210413,0.208711,0.206861,0.238321,0.237776
Pz [eV],7.0E+8,7.0E+8,7.0E+8,7.0E+8,7.5E+8,7.5E+8,7.5E+8,7.5E+8,7.5E+8,7.5E+8,7.5E+8,7.5E+8,7.5E+8,7.5E+8,8.0E+8,8.0E+8
F_ana [mrad],0.003391943109962856,0.0017854902559469859,0.0013537099575550418,0.0038922854993131304,0.002367199465885562,0.0029697972526681942,0.001749953998023948,0.0026851120233200285,0.000973257776976092,0.0028036941472120514,0.003459094910522115,0.0024442117014694125,0.0015448554222177414,0.0026695718073961685,0.0029623317486240884,0.0005461258492554625
F_num [mrad],0.001438919626253088,0.0017282645135440092,0.0016547547080693111,0.0012083235747201533,0.002677022557592587,0.0026533833300482193,0.002722804528014778,0.0027676720209029266,0.006730446833441133,0.004659966659318021,0.00035646555127311313,0.0075314367417880865,0.0016411442403938107,0.0017993834067381094,0.002031053278689794,0.00139601559362933
Delta D2 [mm],0.2647436688404947,0.3604615968698932,0.0583986090372246,0.12328523926513624,0.119728912479522,1.0255286926035,1.0637204339268846,0.004765298548897734,1.5227428640806062,0.16456654405347382,0.2553479232315081,1.332316008762241,0.25806799837382877,0.4651425784178431,0.03872191544418424,0.1715070980280453
Delta D3 [mm],0.31159939527272695,0.07843726798625883,0.15228406161324481,0.03919949116523713,0.38022680541119347,0.349494705979031,0.71012396321804,0.18322960622724205,1.171272115882055,1.0492733848563585,0.04052025701375972,1.6744850477137252,0.19828823857703792,0.07671251848265226,0.21481634513764725,0.10920235645803245
setup length [m],0.7090798557264322,0.7125338988648561,0.7155406826706504,0.7188050857480999,0.7371154978929316,0.7375739660133755,0.7396204035292911,0.7418040050952238,0.7446244707481985,0.7480018399289098,0.7498088681802453,0.7520858309610484,0.7554542202402031,0.7592948550969004,0.7778634617394181,0.7791492905455139
Angle accept. x [mrad],0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Angle accept. y [mrad],0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
beam size x [mm],0.09274,0.090233,0.088526,0.086973,0.11443,0.11234,0.1088,0.10733,0.10536,0.10048,0.099474,0.099373,0.095404,0.093243,0.12217,0.11938
beam size y [mm],0.02458,0.025674,0.026189,0.027011,0.021936,0.023485,0.024108,0.023992,0.023018,0.025063,0.026389,0.025694,0.027182,0.028221,0.023928,0.023494
number of func. evaluations [-],255,355,246,361,249,250,243,297,183,252,229,179,364,284,498,313
