D1 [cm],D2 [cm],D3 [cm],D4 [cm],setup length [m],Pz [MeV/c],"f(x',y') [mrad^2]",studied variable,Astra key,xAngle xOffset slope[mm],xAngle yOffset slope [mm],yAngle xOffset slope [mm],yAngle yOffset slope [mm]
10.0,4.717,13.054,,2.0,400,1.6474884560999998e-26,Q3RotZ,Q_zrot(3),0.0,-0.038,-0.009,0.001
10.0,4.717,13.054,,2.0,400,1.6474884560999998e-26,Q1Gradient,Q_grad(1),-0.004,0.0,0.0,0.02
10.0,4.717,13.054,,2.0,400,1.6474884560999998e-26,Q2Gradient,Q_grad(2),-0.041,0.0,0.0,0.378
10.0,4.717,13.054,,2.0,400,1.6474884560999998e-26,Q3Gradient,Q_grad(3),-0.293,0.0,0.0,0.099
10.0,6.128,17.149,,2.0,450,9.77086372e-25,sourceOffsetX,x_off,-2.039,0.0,-2.04,0.001
10.0,6.128,17.149,,2.0,450,9.77086372e-25,sourceOffsetY,y_off,0.001,-9.32,0.0,-9.316
10.0,6.128,17.149,,2.0,450,9.77086372e-25,Q1OffsetX,Q_xoff(1),1.25,0.0,1.25,0.002
10.0,6.128,17.149,,2.0,450,9.77086372e-25,Q1OffsetY,Q_yoff(1),0.001,-6.069,0.0,-6.072
10.0,6.128,17.149,,2.0,450,9.77086372e-25,Q1OffsetZ,Q_pos(1),-0.008,0.0,0.0,0.081
10.0,6.128,17.149,,2.0,450,9.77086372e-25,Q1RotX,Q_xrot(1),0.001,0.0,0.001,0.0
10.0,6.128,17.149,,2.0,450,9.77086372e-25,Q1RotY,Q_yrot(1),0.001,-0.007,0.0,-0.007
10.0,6.128,17.149,,2.0,450,9.77086372e-25,Q1RotZ,Q_zrot(1),0.0,-0.007,-0.001,0.001
10.0,6.128,17.149,,2.0,450,9.77086372e-25,Q2OffsetX,Q_xoff(2),-3.195,0.0,-3.195,0.001
10.0,6.128,17.149,,2.0,450,9.77086372e-25,Q2OffsetY,Q_yoff(2),0.001,22.048,0.0,22.05
10.0,6.128,17.149,,2.0,450,9.77086372e-25,Q2OffsetZ,Q_pos(2),0.001,0.0,0.0,0.0
10.0,6.128,17.149,,2.0,450,9.77086372e-25,Q2RotX,Q_xrot(2),-0.023,0.0,-0.022,0.001
10.0,6.128,17.149,,2.0,450,9.77086372e-25,Q2RotY,Q_yrot(2),0.0,0.051,0.0,0.052
10.0,6.128,17.149,,2.0,450,9.77086372e-25,Q2RotZ,Q_zrot(2),0.001,0.045,0.01,0.0
10.0,6.128,17.149,,2.0,450,9.77086372e-25,Q3OffsetX,Q_xoff(3),4.987,0.0,4.987,0.001
10.0,6.128,17.149,,2.0,450,9.77086372e-25,Q3OffsetY,Q_yoff(3),0.001,-5.656,0.0,-5.658
10.0,6.128,17.149,,2.0,450,9.77086372e-25,Q3OffsetZ,Q_pos(3),0.0,0.0,0.0,0.0
10.0,6.128,17.149,,2.0,450,9.77086372e-25,Q3RotX,Q_xrot(3),0.006,0.0,0.006,0.0
10.0,6.128,17.149,,2.0,450,9.77086372e-25,Q3RotY,Q_yrot(3),0.001,0.013,0.0,0.013
10.0,6.128,17.149,,2.0,450,9.77086372e-25,Q3RotZ,Q_zrot(3),0.0,-0.037,-0.008,0.001
10.0,6.128,17.149,,2.0,450,9.77086372e-25,Q1Gradient,Q_grad(1),-0.003,0.0,0.0,0.017
10.0,6.128,17.149,,2.0,450,9.77086372e-25,Q2Gradient,Q_grad(2),-0.035,0.0,0.0,0.358
10.0,6.128,17.149,,2.0,450,9.77086372e-25,Q3Gradient,Q_grad(3),-0.294,0.0,0.0,0.084
10.0,7.542,21.774,,2.0,500,5.198575588e-25,sourceOffsetX,x_off,-1.704,0.0,-1.705,0.001
10.0,7.542,21.774,,2.0,500,5.198575588e-25,sourceOffsetY,y_off,0.001,-8.966,0.0,-8.963
10.0,7.542,21.774,,2.0,500,5.198575588e-25,Q1OffsetX,Q_xoff(1),0.943,0.0,0.943,0.001
10.0,7.542,21.774,,2.0,500,5.198575588e-25,Q1OffsetY,Q_yoff(1),0.001,-5.238,0.0,-5.241
10.0,7.542,21.774,,2.0,500,5.198575588e-25,Q1OffsetZ,Q_pos(1),-0.006,0.0,0.0,0.068
10.0,7.542,21.774,,2.0,500,5.198575588e-25,Q1RotX,Q_xrot(1),0.001,0.0,0.001,0.0
10.0,7.542,21.774,,2.0,500,5.198575588e-25,Q1RotY,Q_yrot(1),0.001,-0.006,0.0,-0.006
10.0,7.542,21.774,,2.0,500,5.198575588e-25,Q1RotZ,Q_zrot(1),0.0,-0.006,-0.001,0.001
