,setup 1,setup 2,setup 3,setup 4,setup 5,setup 6,setup 7,setup 8,setup 9,setup 10,setup 11,setup 12,setup 13,setup 14,setup 15,setup 16
D1 [m],0.03,0.04,0.05,0.06,0.07,0.08,0.09,0.1,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08
D2 [m],0.095744,0.090439,0.085699,0.08146,0.07767,0.074283,0.071263,0.068577,0.128798,0.121823,0.115537,0.109861,0.104729,0.100083,0.095877,0.092069
D3 [m],0.073872,0.072546,0.070997,0.069237,0.067276,0.065125,0.062794,0.060294,0.095942,0.095143,0.094113,0.092861,0.091394,0.089722,0.087853,0.085796
Pz [eV],4.0E+8,4.0E+8,4.0E+8,4.0E+8,4.0E+8,4.0E+8,4.0E+8,4.0E+8,4.5E+8,4.5E+8,4.5E+8,4.5E+8,4.5E+8,4.5E+8,4.5E+8,4.5E+8
F_ana [mrad],0.0017733687743952187,0.00555067028610059,0.0025266664502116222,0.0007860411181356864,0.003965829951283842,0.002431411211878813,0.0017537109655313783,0.004146653630112479,0.002027042391707134,0.001806657197460493,0.001703203827504122,0.0034574429018789433,0.00284591980800237,0.0013691541216710734,0.002884614480607139,0.0010622246408619606
F_num [mrad],0.0032776807044959397,0.0080402228358423,0.0014799039023071945,0.002734819600197607,0.008581017930684274,0.0009324968531212318,0.010189379105961266,0.0011751014926619106,0.003830879424291084,0.01991090685039077,0.001703203827504122,0.0017088356428635809,0.004197254581829813,0.005053764493479643,0.003467909722720341,0.007124053420336099
Delta D2 [mm],0.3006650800868732,1.0074114221751,0.030207692085115756,0.10552925696485915,0.5359306899346689,0.03682411322410151,0.7115756662976341,0.22179884809775396,0.3571971652470418,2.662142699912662,0.008048780121241994,0.31260950622460926,0.44168388671893266,0.05730964316068288,0.06312700215656275,1.1421356586532594
Delta D3 [mm],0.2123925191186843,0.5212390052481697,0.17660078162461124,0.010798583536406059,0.08941602247412861,0.06288574939035396,0.13754185529346596,0.029360638161411712,0.28035823520176917,1.2595446665082388,0.025120542088849507,0.11901746715321793,0.10443903283091638,0.013471908126810872,0.06208380596021967,0.9347661912977451
setup length [m],0.4557042725609681,0.4594711724169269,0.46254960691046054,0.46660226932657156,0.4703206532875912,0.4753819383638338,0.4794829661889959,0.48512215948625914,0.49066316106995467,0.4943685980334044,0.49566707176196767,0.49891559203907143,0.5015768770804502,0.5058488377350339,0.5097289568038037,0.5136576305326445
Angle accept. x [mrad],0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Angle accept. y [mrad],0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
beam size x [mm],0.061771,0.059493,0.057035,0.055161,0.052888,0.051552,0.050205,0.04887,0.072128,0.072542,0.06814,0.065706,0.063957,0.062161,0.059223,0.056591
beam size y [mm],0.014306,0.013153,0.016669,0.018366,0.021507,0.018928,0.023868,0.020749,0.015458,0.0086479,0.016559,0.016661,0.019,0.01699,0.020705,0.022343
number of func. evaluations [-],297,292,293,353,439,331,436,620,233,422,348,479,460,223,577,230
