,setup 1,setup 2,setup 3,setup 4,setup 5,setup 6,setup 7,setup 8,setup 9,setup 10,setup 11,setup 12,setup 13,setup 14,setup 15,setup 16
D1 [m],0.03,0.04,0.05,0.06,0.07,0.08,0.09,0.1,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08
D2 [m],0.257989,0.250766,0.243955,0.237527,0.231457,0.225723,0.220303,0.215179,0.294649,0.28641,0.278627,0.271269,0.264307,0.257716,0.251473,0.245556
D3 [m],0.237069,0.236201,0.235176,0.233995,0.232661,0.231178,0.229547,0.227774,0.258768,0.258247,0.257572,0.256743,0.255762,0.254632,0.253355,0.251933
Pz [eV],8.0E+8,8.0E+8,8.0E+8,8.0E+8,8.0E+8,8.0E+8,8.0E+8,8.0E+8,8.5E+8,8.5E+8,8.5E+8,8.5E+8,8.5E+8,8.5E+8,8.5E+8,8.5E+8
F_ana [mrad],0.0018133643129294925,0.0009297817644647856,0.0020549253789675674,0.0019336332138296033,0.004424599764738615,0.0005572103597385821,0.0024920688092739834,0.002680046851269582,0.0036577011272563237,0.0019349168307367921,0.0025933093365194393,0.0022379293109547607,0.003499620252260894,0.0015642084382206521,0.0032775212044584457,0.001663315008231753
F_num [mrad],0.009000078382471178,0.011361477898198368,0.0013338137803400444,0.02452477060162847,0.0019152234438832457,0.002028180742261707,0.0005631524760722001,0.0012624642423772843,0.008928592479658822,0.02256418288328455,0.043170370718335016,0.0005694336908527635,0.00790368811007335,0.0007991997704451528,0.0018547655127072067,0.0018194910220655563
Delta D2 [mm],0.5563738238476557,0.026538533728970304,0.08167940709380428,0.21132779990323813,0.6077227564708909,0.068007418354471,0.2896183877296177,0.15965659030739432,2.05424174187141,3.2532235175430357,4.654572991123818,0.27423026256928607,0.262888085720725,0.05771975266916085,0.10666837244921457,0.2985962736557768
Delta D3 [mm],1.7671483475820149,2.4859030572091934,0.3941243689582208,4.825719905432263,0.044213845851931444,0.651926349844123,0.21468133957858182,0.21528655313335365,1.8895985895990286,5.625488628724029,10.357843063903305,0.5013402995521776,2.345896678449033,0.3078126850589169,0.43721315406208827,0.1468708145391795
setup length [m],0.7833815221714296,0.7854794415909382,0.7848185550381356,0.7824849522946644,0.790681508910619,0.7936209337681985,0.7963542997273082,0.7985780568565592,0.8195816431522723,0.818284734888819,0.8164957299272205,0.8232364294378786,0.8239859914072717,0.828713532437728,0.8313718815265113,0.833934467088195
Angle accept. x [mrad],0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Angle accept. y [mrad],0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
beam size x [mm],0.11413,0.11031,0.11134,0.11522,0.10658,0.10368,0.10226,0.10039,0.13146,0.13241,0.13542,0.12028,0.12004,0.11541,0.11297,0.11048
beam size y [mm],0.02319,0.024658,0.025955,0.029097,0.026956,0.028195,0.028737,0.030076,0.0226,0.022977,0.023364,0.026684,0.027105,0.028147,0.028036,0.029396
number of func. evaluations [-],233,252,245,238,368,242,304,318,355,256,441,561,296,323,371,440
