,setup 1,setup 2,setup 3,setup 4,setup 5,setup 6,setup 7,setup 8,setup 9,setup 10,setup 11,setup 12,setup 13,setup 14,setup 15,setup 16
D1 [m],0.07,0.08,0.09,0.1,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09,0.1,0.01,0.02
D2 [m],0.043069,0.040717,0.038731,0.037078,0.088091,0.081774,0.076236,0.071369,0.067088,0.06332,0.060007,0.057102,0.054564,0.05236,0.108367,0.101689
D3 [m],0.02654,0.024227,0.021735,0.019073,0.055802,0.054896,0.053736,0.052335,0.050705,0.048859,0.04681,0.04457,0.042151,0.039563,0.075816,0.074965
Pz [eV],3.0E+8,3.0E+8,3.0E+8,3.0E+8,3.5E+8,3.5E+8,3.5E+8,3.5E+8,3.5E+8,3.5E+8,3.5E+8,3.5E+8,3.5E+8,3.5E+8,4.0E+8,4.0E+8
F_ana [mrad],0.0015414109341047822,0.00309423178636924,0.003296538276064083,0.0027772933974565153,0.004280331755309418,0.004138653990103053,0.002786836496159495,0.003134762097538387,0.0023282604246299336,0.004188800093641352,0.001323217417154575,0.003064454626579964,0.0038969998553570746,0.004741329801923954,0.0011881974186241106,0.0006888707752546918
F_num [mrad],0.0029396595819546484,0.003949666947984349,0.0024505405045508726,0.007590648047286725,0.008787361982543162,0.0014667796857505944,0.002344570799103359,0.003134762097538387,0.006012208538482683,0.002249878367143161,0.0073775693832656,0.001999003051654111,0.0015583458749689214,0.0010825612822395237,0.004030300333179278,0.0006888707752546918
Delta D2 [mm],0.11073185762722204,0.2743090823942862,0.20705712572152007,0.45402877484331666,0.2150706385336265,0.4530921381302039,0.16609597705080636,0.01758864582515618,0.2762666752649384,0.062267428930923296,0.6862372895432289,0.3359840952240692,0.11098982485617526,0.22964345993875535,0.05496982499299252,0.050957277566238135
Delta D3 [mm],0.003275162811320481,0.09438515969181424,0.24756338025436198,0.5127883516366956,0.6471732855515486,0.2921412763774653,0.015289603945894958,0.04761303694044566,0.4353072985161105,0.20776854929328153,0.9727270404945726,0.3119868714546378,0.01563686939057285,0.08250967885191363,0.5802981798359169,0.055962093109623856
setup length [m],0.3957164566948159,0.40076407607729747,0.4065065062545329,0.4122097595767934,0.41032510264701794,0.4128309508617528,0.4157906144190032,0.41967397560888475,0.42450457397378105,0.4280334988796376,0.43253051024904865,0.4376480027762305,0.4426196470445344,0.44807013378108684,0.44954773199517106,0.45265900481554333
Angle accept. x [mrad],0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Angle accept. y [mrad],0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
beam size x [mm],0.039965,0.038826,0.037345,0.035287,0.056413,0.056465,0.054134,0.051629,0.048391,0.048569,0.049031,0.04465,0.044589,0.042471,0.067392,0.063191
beam size y [mm],0.017501,0.018817,0.019018,0.021721,0.012796,0.012583,0.014745,0.015893,0.014185,0.017212,0.016934,0.018332,0.019357,0.020223,0.014318,0.014363
number of func. evaluations [-],416,420,501,445,234,485,484,393,426,512,436,410,446,660,293,356
